file,artist,title,year,genre
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/07 - It Don't Mean a Thing (If It Ain't Got That Swing).mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/25 - Sophisticated Lady.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/49 - The Star-Crossed Lovers.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/06 - The Mooche.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/31 - Maybe I Should Change My Ways.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/61 - Dance of the Floreadores (Waltz of the Flowers).mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/54 - Flirtibird.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/10 - Showboat Shuffle.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/03 - Black and Tan Fantasy.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/45 - Take the A Train.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/65 - Battle Royal.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/39 - Snibor.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/20 - Old King Dooji.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/50 - Mood Indigo.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/57 - Things Ain't What They Used to Be.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/63 - A Midnight in Paris.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/64 - Asphalt Jungle (Theme).mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/52 - Come Sunday.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/47 - Solitude.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/09 - Saddest Tale.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/58 - Happy Go Lucky Local.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/55 - Perdido.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/21 - Portrait of the Lion.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/34 - Three Cent Stomp.mp3,"","","",""
"Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/32 - Stomp, Look and Listen.mp3","","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/51 - Dancers in Love.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/05 - Ring Dem Bells.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/35 - Don't Get Around Much Anymore.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/56 - C Jam Blues.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/27 - Lady of the Lavender Mist.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/44 - Monologue (Pretty and the Wolf).mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/08 - Slippery Horn.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/41 - The Tattooed Bride.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/53 - Satin Doll.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/37 - I Can't Believe That You're in Love With Me.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/01 - Hot and Bothered.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/59 - Something to Live For.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/17 - Battle of Swing.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/38 - I Like the Sunrise.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/43 - Primpin' at the Prom.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/46 - Jeep's Blues.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/26 - Hy'a Sue.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/16 - I Let a Song Go Out of My Heart.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/33 - On a Turquoise Cloud.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/30 - Sultry Serenade.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/29 - Golden Cress.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/40 - Creole Love Call.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/36 - Progressive Gavotte.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/04 - Black Beauty.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/24 - Tootin' Through the Roof.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/22 - Country Gal.mp3,"","","",""
Duke Ellington/Duke Ellington - The Duke - The Essential Collection (1927-1962) V2/15 - Braggin' in Brass.mp3,"","","",""
